image_url,cert,price,descr,product_category,opt_1_val,cat_name,weight,debug_1,cost,opt_3_val,opt_1,debug_2,type,compare,upc,title,cat,var_image_url,opt_2,product_id,vendor,tags,debug_3,handle,var_id,opt_3,status,url,inventory_tracker,opt_2_val,inventory_quantity,published,sku,weight_grams
,,,,,,,,,,,,,,,,,,,,110,,,,,8809447251394,,UPD,,,,,,8809447251394,
,,,,,,Cream,,,,,,,,,,,,,,111,,,,,88099827769866,,NEW,,,,,,88099827769866,
,,,,,,Cream,,,,,,,,,,,,,,112,,,,,8800256118885,,NEW,,,,,,8800256118885,
,,,,,,,,,,,,,,,,,,,,113,,,,,8809013349050,,NEW,,,,,,8809013349050,
,,,,,,Cream,,,,,,,,,,,,,,114,,,,,8809598455412,,NEW,,,,,,8809598455412,
,,,,,,Cream,,,,,,,,,,,,,,115,,,,,8800256114481,,NEW,,,,,,8800256114481,
,,,,,,Cream,,,,,,,,,,,,,,116,,,,,8800256114313,,NEW,,,,,,8800256114313,
,,,,,,Cream,,,,,,,,,,,,,,117,,,,,8809447251363,,NEW,,,,,,8809447251363,
,,,,,,Cream,,,,,,,,,,,,,,118,,,,,8806390500050,,NEW,,,,,,8806390500050,
,,,,,,Cream,,,,,,,,,,,,,,119,,,,,880916470122,,NEW,,,,,,880916470122,
,,,,,,Cream,,,,,,,,,,,,,,120,,,,,8809576261233,,NEW,,,,,,8809576261233,
,,,,,,Cream,,,,,,,,,,,,,,121,,,,,8800256113101,,NEW,,,,,,8800256113101,
,,,,,,Cream,,,,,,,,,,,,,,122,,,,,8809695240584,,NEW,,,,,,8809695240584,
,,,,,,Cream,,,,,,,,,,,,,,123,,,,,8809563103430,,NEW,,,,,,8809563103430,
,,,,,,Cream,,,,,,,,,,,,,,124,,,,,8809598454781,,NEW,,,,,,8809598454781,
